filename,session_root,session_date,fixation_type,cell_type,sample_index,frame_index,em_filter_nm,acquisition_time,annotation,notes
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,0,535,49:30.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,0,535,49:30.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,0,535,49:30.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,1,457,38:03.1,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,1,457,38:03.1,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,1,457,38:03.1,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,1,457,38:03.1,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,1,457,38:03.1,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,1,457,38:03.1,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,1,457,38:03.1,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,1,457,38:03.1,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,1,535,50:38.4,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,1,535,50:38.4,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,1,535,50:38.4,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,1,535,50:38.4,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,1,535,50:38.4,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,1,535,50:38.4,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,1,535,50:38.4,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,1,535,50:38.4,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,2,457,39:11.5,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,2,457,39:11.5,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,2,457,39:11.5,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,2,457,39:11.5,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,2,457,39:11.5,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,2,457,39:11.5,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,2,457,39:11.5,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,2,457,39:11.5,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,2,535,51:47.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,2,535,51:47.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,2,535,51:47.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,2,535,51:47.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,2,535,51:47.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,2,535,51:47.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,2,535,51:47.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,2,535,51:47.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,3,457,40:20.2,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,3,457,40:20.2,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,3,457,40:20.2,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,3,457,40:20.2,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,3,457,40:20.2,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,3,457,40:20.2,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,3,457,40:20.2,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,3,457,40:20.2,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,3,535,52:55.7,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,3,535,52:55.7,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,3,535,52:55.7,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,3,535,52:55.7,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,3,535,52:55.7,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,3,535,52:55.7,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,3,535,52:55.7,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,3,535,52:55.7,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0004.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,4,457,41:28.6,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0004.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,4,457,41:28.6,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0004.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,4,457,41:28.6,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0004.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,4,457,41:28.6,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0004.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,4,457,41:28.6,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0004.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,4,457,41:28.6,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0004.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,4,457,41:28.6,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0004.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,4,457,41:28.6,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0004.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,4,535,54:04.6,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0004.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,4,535,54:04.6,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0004.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,4,535,54:04.6,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0004.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,4,535,54:04.6,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0004.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,4,535,54:04.6,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0004.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,4,535,54:04.6,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0004.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,4,535,54:04.6,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0004.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,4,535,54:04.6,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0005.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,5,457,42:37.3,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0005.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,5,457,42:37.3,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0005.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,5,457,42:37.3,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0005.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,5,457,42:37.3,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0005.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,5,457,42:37.3,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0005.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,5,457,42:37.3,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0005.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,5,457,42:37.3,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0005.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,5,457,42:37.3,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0005.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,5,535,55:13.7,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0005.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,5,535,55:13.7,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0005.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,5,535,55:13.7,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0005.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,5,535,55:13.7,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0005.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,5,535,55:13.7,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0005.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,5,535,55:13.7,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0005.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,5,535,55:13.7,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0005.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,5,535,55:13.7,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0006.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,6,457,43:46.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0006.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,6,457,43:46.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0006.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,6,457,43:46.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0006.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,6,457,43:46.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0006.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,6,457,43:46.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0006.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,6,457,43:46.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0006.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,6,457,43:46.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0006.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,6,457,43:46.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0006.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,6,535,56:22.6,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0006.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,6,535,56:22.6,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0006.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,6,535,56:22.6,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0006.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,6,535,56:22.6,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0006.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,6,535,56:22.6,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0006.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,6,535,56:22.6,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0006.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,6,535,56:22.6,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0006.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,6,535,56:22.6,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0007.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,7,457,44:56.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0007.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,7,457,44:56.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0007.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,7,457,44:56.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0007.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,7,457,44:56.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0007.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,7,457,44:56.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0007.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,7,457,44:56.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0007.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,7,457,44:56.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0007.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,7,457,44:56.0,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0007.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,7,535,57:33.1,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0007.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,7,535,57:33.1,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0007.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,7,535,57:33.1,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0007.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,7,535,57:33.1,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0007.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,7,535,57:33.1,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0007.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,7,535,57:33.1,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0007.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,7,535,57:33.1,,
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0007.sdt,20260501_KPC_fixed_dishes_on_SLIM,20260501,glu,KPCWT,3,7,535,57:33.1,,
